Issue Type,Epic Name,Epic Link,Summary,Description,Priority,Labels,Story Points
Epic,Paquetes de Sesiones (V1.1),,"Paquetes de Sesiones (V1.1)","Venta de N sesiones prepagadas del mismo servicio con descuento. Pago completo vía MP. Detección de packs activos en el bot. CRUD en backoffice.",Medium,"paquetes,v1.1",
Epic,Features Bot Adicionales (V1.1),,"Features Bot Adicionales (V1.1)","Re-agendamiento, lista de espera, historial del cliente, métricas de conversión del bot, blacklist de clientes.",Medium,"bot,v1.1",
Story,,Setup & Infraestructura,"Crear proyecto Supabase y aplicar migraciones iniciales del schema","Crear el proyecto en Supabase. Configurar las migraciones SQL para todas las tablas del PRD: services, bookings, clients, professionals, conversation_sessions, payments, rate_limit_log, service_audit_log. Aplicar RLS básico. Incluir location_id nullable en services y professionals (multi-sede future-proof).",Highest,"setup,supabase,schema",5
Story,,Setup & Infraestructura,"Scaffold Next.js 14 con App Router, TypeScript y estructura de carpetas","Inicializar proyecto Next.js 14 con App Router y TypeScript. Definir estructura: /app (routes), /lib (supabase client, gcal, whatsapp), /components, /actions (server actions). Configurar ESLint, Prettier y path aliases. Crear CLAUDE.md con convenciones del proyecto.",Highest,"setup,nextjs",3
Story,,Setup & Infraestructura,"Configurar variables de entorno y secretos","Definir y documentar todas las variables de entorno requeridas: SUPABASE_URL, SUPABASE_ANON_KEY, SUPABASE_SERVICE_ROLE_KEY, WHATSAPP_TOKEN, WHATSAPP_WEBHOOK_SECRET, GOOGLE_CLIENT_ID, GOOGLE_CLIENT_SECRET, MERCADOPAGO_ACCESS_TOKEN, CLAUDE_API_KEY, CRON_SECRET. Crear .env.example. Configurar en Vercel.",Highest,"setup,seguridad",2
Story,,Setup & Infraestructura,"Implementar keep-alive cron para Supabase Free tier","Crear endpoint GET /api/internal/keepalive protegido con CRON_SECRET que ejecuta un query liviano (SELECT id FROM services LIMIT 1). Configurar Vercel Cron en vercel.json para ejecutar cada 3 días (0 8 */3 * *). El endpoint retorna 200 ok o 500 error según el resultado del query.",High,"infra,supabase,cron",2
Story,,Setup & Infraestructura,"Configurar Supabase Auth y sesiones de backoffice","Configurar Supabase Auth para login del backoffice. Crear tabla de perfiles de usuario con campo role (admin | profesional). Implementar middleware de Next.js para proteger rutas /backoffice/*. Página de login en /login.",Highest,"setup,auth",3
Story,,Setup & Infraestructura,"Setup CI/CD básico con GitHub Actions","Configurar pipeline básico: lint + type-check en cada PR. Deploy automático a Vercel en merge a main. Configurar preview deployments para PRs.",Medium,"setup,cicd",2
Story,,Bot WhatsApp — Core,"Implementar webhook POST /api/webhooks/whatsapp con validación HMAC","Crear endpoint que recibe mensajes de WhatsApp Business API. Validar la firma HMAC-SHA256 del header x-hub-signature-256 usando WHATSAPP_WEBHOOK_SECRET. Responder 200 inmediatamente usando waitUntil de @vercel/functions para procesar en background. Implementar endpoint GET para verificación inicial del webhook con Meta.",Highest,"bot,whatsapp,seguridad",5
Story,,Bot WhatsApp — Core,"Implementar motor de estados de conversación","Crear módulo de bot engine que lee y escribe el estado de cada conversación en la tabla conversation_sessions (keyed por phone). Estados: IDLE, MENU, INFO_FLOW, BOOKING_SERVICE, BOOKING_PROFESSIONAL, BOOKING_SLOT, BOOKING_DATA, BOOKING_CONFIRM, CANCEL_FLOW. Cada transición de estado queda registrada con contexto en context_json.",Highest,"bot,estados",8
Story,,Bot WhatsApp — Core,"Implementar menú principal del bot","El bot responde con el menú cuando: no hay sesión activa, o el usuario envía palabras clave ('menu', 'inicio', 'hola', '0'). Opciones: 1) Información de tratamientos, 2) Agendar turno, 3) Ver/modificar mi reserva. Usar reply buttons de WhatsApp Business API.",Highest,"bot,menu",3
Story,,Bot WhatsApp — Core,"Implementar flujo de selección de servicio","Paso 1 del agendamiento: mostrar lista de services con is_active=true, con nombre, duración y precio. Máximo 10 opciones numeradas. Si hay más de 10, paginar. El usuario selecciona por número o nombre. Guardar selección en context_json.",Highest,"bot,booking",3
Story,,Bot WhatsApp — Core,"Implementar flujo de selección de profesional","Paso 2 del agendamiento: ofrecer la profesional por defecto del servicio o 'cualquier profesional disponible'. Si el usuario tiene preferencia, listar profesionales activas. Guardar selección en context_json.",High,"bot,booking",3
Story,,Bot WhatsApp — Core,"Implementar flujo de propuesta y confirmación de horario","Paso 3-4 del agendamiento: llamar al scheduling engine para obtener hasta 3 slots disponibles. Presentar opciones al usuario. Si el usuario pide un horario específico, verificar disponibilidad directa. Confirmar el slot seleccionado antes de continuar.",Highest,"bot,booking,scheduling",5
Story,,Bot WhatsApp — Core,"Implementar captura de datos del cliente","Paso 5 del agendamiento: solicitar nombre, apellido y email. El teléfono ya está disponible del mensaje WA. Validar email con regex. Buscar si ya existe el cliente por teléfono en la tabla clients — si existe, pre-completar datos y confirmar. Si no existe, crear nuevo registro.",High,"bot,booking,clientes",3
Story,,Bot WhatsApp — Core,"Implementar creación de reserva y envío de instrucciones de pago","Pasos 6-7 del agendamiento: crear el booking con status=pending en Supabase. Enviar template WA vaig_booking_pending con CBU, alias y/o link de MP configurados en el sistema. Activar timer de auto-cancel (configurable, default 24hs).",Highest,"bot,booking,pagos",5
Story,,Bot WhatsApp — Core,"Implementar modo ausente / fuera de horario","Si el cliente escribe fuera del horario de atención configurado (por día de semana), el bot responde automáticamente indicando el horario de atención y ofreciendo dejar la consulta para el día siguiente. No inicia flujos de agendamiento fuera de horario.",High,"bot,horario",3
Story,,Bot WhatsApp — Core,"Implementar cancelación de reserva por bot (F05)","El cliente puede cancelar su reserva escribiendo 'cancelar' o seleccionando la opción en 'Ver/modificar mi reserva'. El bot verifica si está dentro del plazo de cancelación configurado. Si está en plazo: cancela y envía vaig_cancellation_client. Si está fuera de plazo: informa que pierde la seña y pide confirmación explícita.",High,"bot,cancelacion",5
Story,,Bot WhatsApp — Core,"Implementar rate limiting del bot","Limitar mensajes por número de teléfono por ventana de tiempo. Leer configuración desde la tabla de configuración del sistema (default: 30 mensajes / 10 min). Registrar en rate_limit_log. Si se supera el límite, responder con mensaje de espera sin procesar ni consumir LLM.",High,"bot,ratelimit,seguridad",3
Story,,Bot WhatsApp — LLM Info,"Implementar knowledge base sincronizada con tabla services","Construir el contexto RAG a partir de los registros activos de la tabla services (name, description, price, duration_minutes). El contexto se regenera en cada consulta para reflejar cambios en tiempo real. No cachear precios — siempre leer de la base.",High,"llm,rag,services",5
Story,,Bot WhatsApp — LLM Info,"Implementar handler de consultas LLM con Claude API","Integrar Claude API (claude-sonnet-4) para responder consultas de tratamientos. System prompt estricto: responder solo con datos de la knowledge base, no inventar precios, escalar a 'consultá directamente con nosotros' si el dato no existe. Incluir CTA para agendar al final de cada respuesta informativa.",High,"llm,claude,bot",5
Story,,Bot WhatsApp — LLM Info,"Implementar sugerencia de paquetes en respuestas LLM","Cuando el usuario pregunta por un servicio que tiene service_packages activos, el LLM menciona la opción de pack con el descuento implícito. El LLM no inventa packs — solo los que existen en la base.",Medium,"llm,paquetes",3
Story,,Scheduling Engine,"Implementar función pura de cálculo de slots adyacentes","Función que recibe: bookings existentes del día, duración del nuevo servicio, horario laboral de la profesional, buffer entre turnos. Retorna slots adyacentes válidos ordenados por prioridad (adyacente a reserva existente primero, luego mañana). Debe tener tests unitarios exhaustivos.",Highest,"scheduling,tests",8
Story,,Scheduling Engine,"Integrar scheduling con disponibilidad real de Supabase","Consultar bookings existentes con status != cancelled y != no_show para la profesional y día solicitados. Combinar con la función de slots adyacentes. Retornar máximo 3 opciones para el bot.",Highest,"scheduling,supabase",5
Story,,Scheduling Engine,"Implementar verificación de horario específico solicitado por usuario","Cuando el usuario solicita un horario concreto en lugar de elegir de las opciones ofrecidas, verificar disponibilidad directa sin restricción de adyacencia. Retornar disponible/ocupado con alternativas cercanas si está ocupado.",High,"scheduling",3
Story,,Scheduling Engine,"Implementar configuración de horario laboral por profesional","CRUD de horarios laborales en la tabla professionals: start_time/end_time por día de semana (lunes a domingo), días no laborables, bloqueos puntuales (vacaciones, capacitaciones). El scheduler respeta estos límites al calcular slots.",High,"scheduling,profesionales",5
Story,,Pagos,"Implementar webhook POST /api/webhooks/mercadopago","Recibir notificaciones de pago de Mercado Pago. Validar autenticidad. Buscar el booking correspondiente por referencia. Verificar que el monto recibido == deposit_amount del servicio. Solo si ambas condiciones se cumplen, transicionar a status=deposit_paid. Registrar en tabla payments.",Highest,"pagos,mercadopago,webhook",5
Story,,Pagos,"Implementar confirmación manual de pago por transferencia en backoffice","En la vista de reserva, acción 'Confirmar pago manual' disponible para bookings con status=pending. Admin ingresa referencia de transferencia. Sistema transiciona a deposit_paid, registra en payments con method=transfer y notifica al admin en el dashboard.",Highest,"pagos,backoffice,transferencia",3
Story,,Pagos,"Implementar generación de link de pago Mercado Pago","Al crear el booking, generar un preference de Mercado Pago con el monto de seña del servicio e incluir el link en el template vaig_booking_pending. El link debe expirar según el timer de auto-cancel configurado.",High,"pagos,mercadopago",5
Story,,Pagos,"Implementar auto-cancel de reservas pending sin pago","Vercel Cron que corre cada hora y busca bookings con status=pending y created_at > X horas (configurable, default 24hs). Los cancela automáticamente y registra cancelled_by=system. Enviar reminder WA antes del auto-cancel (configurable: a las X horas).",High,"pagos,cron,bot",3
Story,,Google Calendar Integration,"Implementar OAuth flow por profesional para Google Calendar","Flujo OAuth 2.0 para que cada profesional conecte su cuenta de Google Calendar desde el backoffice. Guardar access_token y refresh_token por profesional en Supabase (encriptados). Implementar refresh automático del token.",High,"gcal,oauth,profesionales",8
Story,,Google Calendar Integration,"Implementar creación de evento en Google Calendar al confirmar turno","Cuando un booking transiciona a status=confirmed (acción manual del admin), crear evento en el Google Calendar de la profesional asignada. Formato: 'VAIG: [Nombre Apellido] — [Servicio]'. Descripción: teléfono, profesional, servicio, duración. Guardar gcal_event_id en el booking.",Highest,"gcal,booking",5
Story,,Google Calendar Integration,"Implementar lectura de disponibilidad desde Google Calendar","Al calcular slots disponibles, consultar la API de Google Calendar de la profesional para detectar eventos bloqueantes (reuniones, bloqueos manuales). Un slot es válido solo si está libre tanto en Supabase como en Google Calendar.",High,"gcal,scheduling",5
Story,,Google Calendar Integration,"Implementar actualización/eliminación de evento al cancelar reserva","Cuando un booking pasa a status=cancelled, eliminar el evento de Google Calendar correspondiente (si gcal_event_id existe). Si no se puede eliminar (token expirado, etc.), registrar el error y mostrar advertencia en backoffice.",High,"gcal,cancelacion",3
Story,,Automatizaciones Post-atención,"Implementar cron de recordatorio 24hs antes del turno","Vercel Cron que corre cada hora y detecta bookings con status=confirmed donde scheduled_at está entre 23hs y 25hs en el futuro y confirmation_sent_at IS NULL. Enviar template vaig_reminder_24h por WA. Registrar confirmation_sent_at.",High,"cron,bot,recordatorio",3
Story,,Automatizaciones Post-atención,"Implementar confirmación del turno por WhatsApp","Cuando el cliente responde al recordatorio con 'confirmo', 'sí', 'si' o equivalentes, transicionar el booking a status=confirmed (si no estaba ya) y registrar client_confirmed_at. Si responde 'cancelar', iniciar flujo de cancelación.",High,"bot,confirmacion",3
Story,,Automatizaciones Post-atención,"Implementar cron de encuesta post-atención","Cron diario a las 22:00 UY (pg_cron o Vercel Cron). Busca bookings con status=realized y survey_sent_at IS NULL. Envía template vaig_survey_request con link a Google Form. Registra survey_sent_at.",High,"cron,encuesta,bot",3
Story,,Automatizaciones Post-atención,"Implementar trigger de reseña Google según score de encuesta","Webhook o polling desde Google Forms (o formulario propio) que lee la respuesta. Si score >= umbral configurable (default 4/5), enviar template vaig_google_review con link directo a Google My Business. Si score bajo, crear notificación interna en backoffice para el admin.",High,"encuesta,gcal,bot",5
Story,,Automatizaciones Post-atención,"Implementar sugerencia de próxima sesión (F04)","Cron semanal que detecta clientes con bookings realizados de servicios de depilación laser. Calcula el intervalo óptimo según el servicio (configurable por servicio). Si la fecha sugerida está próxima y no hay booking futuro, enviar template vaig_next_session.",High,"cron,bot,retencion",5
Story,,Automatizaciones Post-atención,"Implementar notificación al admin de nueva reserva y pago (F13)","Cuando se crea un nuevo booking (pending) o se confirma un pago (deposit_paid), enviar notificación al admin por email y/o WhatsApp según configuración. El WA del admin debe estar configurado en el sistema.",High,"notificacion,admin,bot",3
Story,,Backoffice — Dashboard & Reservas,"Implementar dashboard con métricas del día y semana","Página principal del backoffice con: métricas del día (agendados, confirmados, realizados, cancelados, no-shows), métricas de la semana (ocupación por profesional %, ingresos por seña), ranking de servicios más reservados y evolución mensual de reservas.",High,"backoffice,dashboard,metricas",5
Story,,Backoffice — Dashboard & Reservas,"Implementar cola de pagos pendientes de confirmación en dashboard","Sección prominente en el dashboard que muestra bookings con status=deposit_paid pendientes de confirmación manual. Badge con contador. Lista ordenada por fecha de turno. Acciones directas 'Confirmar' y 'Cancelar' sin entrar al detalle del booking.",Highest,"backoffice,dashboard,pagos",5
Story,,Backoffice — Dashboard & Reservas,"Implementar vista de agenda semanal/diaria","Vista de calendario con reservas por profesional. Navegación por semana y día. Cada reserva muestra: hora, cliente, servicio, status (con color). Click en reserva abre el detalle. Filtro por profesional.",High,"backoffice,agenda,calendario",8
Story,,Backoffice — Dashboard & Reservas,"Implementar vista de tabla de reservas con filtros","Tabla paginada de bookings con filtros: estado, profesional, servicio, rango de fechas, búsqueda por nombre/teléfono. Columnas: fecha, hora, cliente, servicio, profesional, estado, monto seña. Exportar a CSV.",High,"backoffice,reservas,tabla",5
Story,,Backoffice — Dashboard & Reservas,"Implementar CRUD de reservas en backoffice","Formulario de creación manual de reservas (para coordinaciones fuera del bot). Edición: cambiar fecha/hora, profesional, agregar notas internas. Dropdown de cambio de estado con transiciones válidas según estado actual. Ver historial de cambios de estado (audit log) de cada reserva.",Highest,"backoffice,reservas,crud",8
Story,,Backoffice — Dashboard & Reservas,"Implementar flujo de confirmación manual de turno (deposit_paid → confirmed)","Acción 'Confirmar turno' en el detalle de reserva para bookings en status=deposit_paid. Al confirmar: crea evento en Google Calendar, envía template vaig_booking_confirmed por WA al cliente, actualiza status. Mostrar advertencia si Google Calendar no está conectado para esa profesional.",Highest,"backoffice,reservas,gcal,bot",5
Story,,Backoffice — Dashboard & Reservas,"Implementar flujo de cancelación con motivo y WA automático","Modal de cancelación en el detalle de reserva. Campos: motivo (professional_unavailable | location_closed | client_request | other) y texto libre opcional. Al confirmar: cambia status, registra cancelled_by=admin, dispara WA según motivo. Si VAIG cancela y había seña: marcar reembolso_pendiente.",High,"backoffice,cancelacion,bot",5
Story,,Backoffice — Administración,"Implementar CRUD de servicios","Formulario para crear/editar/desactivar servicios. Campos: nombre, descripción (para LLM), duración en minutos, precio, monto de seña, profesional por defecto, imagen, activo. Preview de cómo aparece en el bot. Cualquier edición de precio o seña genera entrada en service_audit_log.",Highest,"backoffice,servicios,crud",5
Story,,Backoffice — Administración,"Implementar CRUD de profesionales (solo admin)","Formulario para crear/editar/desactivar profesionales. Campos: nombre, especialidades, horario laboral por día de semana, foto. Sección para conectar Google Calendar (OAuth). Bloqueos de agenda (rango de fechas con motivo). Solo visible y accesible para rol admin.",High,"backoffice,profesionales,crud,admin",5
Story,,Backoffice — Administración,"Implementar CRUD de clientes","Vista de clientes con búsqueda por nombre, teléfono, email. Perfil del cliente: datos de contacto, historial de reservas, tratamientos realizados, notas internas, fuente de origen. Acciones desde el perfil: enviar mensaje WA manual, crear nueva reserva.",High,"backoffice,clientes,crud",5
Story,,Backoffice — Administración,"Implementar configuración global del sistema (solo admin)","Sección de configuración solo para admin. Subsecciones: (1) Datos de pago: CBU, alias, link MP, seña global default. (2) Scheduling: buffer entre turnos, horario global de atención. (3) Rate limit bot: mensajes máximos y ventana de tiempo. (4) Post-atención: umbral de encuesta para reseña, horario del cron, timer de auto-cancel.",High,"backoffice,configuracion,admin",8
Story,,Backoffice — Administración,"Implementar gestión de templates de mensajes WA","UI para ver y editar el texto de cada template WA del sistema. Los templates editables son los que Meta ya aprobó — el sistema muestra el nombre del template aprobado y las variables disponibles. Incluir preview del mensaje con variables de ejemplo.",High,"backoffice,whatsapp,templates,admin",5
Story,,Seguridad & Permisos,"Implementar RLS en Supabase para roles admin y profesional","Configurar Row Level Security en Supabase para todas las tablas. Admin: acceso total. Profesional: acceso a sus propias reservas y a todos los servicios/clientes. Ningún rol puede acceder a tokens o claves de otros profesionales.",Highest,"seguridad,rls,supabase",8
Story,,Seguridad & Permisos,"Implementar audit log de cambios en servicios y precios","Trigger en Supabase (o server action en Next.js) que registra en service_audit_log cada cambio en services.price, services.deposit_amount, services.name, services.duration_minutes. Campos: service_id, edited_by, edited_at, field_changed, old_value, new_value. Vista en backoffice por servicio.",High,"seguridad,auditlog,servicios",5
Story,,Seguridad & Permisos,"Implementar audit log de cambios de estado de reservas","Registrar en booking_status_log cada transición de estado de un booking: booking_id, changed_by, changed_at, from_status, to_status, note. Visible en el detalle de cada reserva en backoffice.",High,"seguridad,auditlog,reservas",3
Story,,Paquetes de Sesiones (V1.1),"Implementar migraciones de tablas service_packages y client_packages","Agregar tablas service_packages (id, service_id, name, session_count, price, is_active, created_at) y client_packages (id, client_id, package_id, sessions_total, sessions_used, paid_at, payment_reference, expires_at NULL, created_at). Agregar client_package_id NULL FK en bookings.",Medium,"paquetes,schema,v1.1",3
Story,,Paquetes de Sesiones (V1.1),"Implementar detección de pack activo en el bot al agendar","Al iniciar el flujo de agendamiento, verificar si el cliente tiene client_packages con sessions_used < sessions_total y (expires_at IS NULL OR expires_at > now()). Si hay pack activo para el servicio seleccionado, ofrecer usarlo. Si acepta, crear el booking linkeado al pack sin cobrar seña.",Medium,"bot,paquetes,v1.1",5
Story,,Paquetes de Sesiones (V1.1),"Implementar descuento de sesión al marcar como realizado","Al transicionar un booking a status=realized y client_package_id IS NOT NULL, incrementar sessions_used en el client_package correspondiente. Si sessions_used == sessions_total, marcar el pack como agotado y notificar al cliente por WA.",Medium,"paquetes,booking,v1.1",3
Story,,Paquetes de Sesiones (V1.1),"Implementar compra de pack vía MP y webhook de confirmación","Flujo de compra de pack: el bot presenta los packs disponibles para el servicio, genera link de MP por el precio total del pack, webhook confirma el pago completo y activa el client_package. Enviar template vaig_pack_purchased.",Medium,"paquetes,pagos,bot,v1.1",8
Story,,Paquetes de Sesiones (V1.1),"Implementar CRUD de paquetes en backoffice","Sección de paquetes en backoffice: crear/editar/desactivar service_packages. Vista de client_packages activos por cliente con sesiones usadas/restantes. Ajuste manual de sessions_used con nota de auditoría obligatoria.",Medium,"backoffice,paquetes,v1.1",5
Story,,Features Bot Adicionales (V1.1),"Implementar re-agendamiento por bot (F01)","El cliente puede escribir 'cambiar turno' o seleccionar la opción en 'Ver/modificar mi reserva'. El bot muestra el turno actual y ofrece nuevos horarios disponibles. Al confirmar el nuevo horario, actualiza el booking, actualiza el evento en Google Calendar y envía confirmación por WA.",Medium,"bot,reagendamiento,v1.1",8
Story,,Features Bot Adicionales (V1.1),"Implementar lista de espera (F02)","Si el cliente solicita un horario ocupado, el bot ofrece anotarse en lista de espera. Crear tabla waitlist (booking_id_reference, client_id, service_id, professional_id, requested_slot, created_at). Si el slot se libera (booking cancelado), el bot notifica automáticamente al primer cliente en espera.",Medium,"bot,espera,v1.1",8
Story,,Features Bot Adicionales (V1.1),"Implementar historial del cliente en bot (F06)","El cliente puede escribir 'mis turnos'. El bot muestra: próximos turnos confirmados (hasta 3) y últimas sesiones realizadas (hasta 3). Si tiene packs activos, muestra el saldo de sesiones.",Medium,"bot,historial,v1.1",3
Story,,Features Bot Adicionales (V1.1),"Implementar métricas de conversión del bot (F07)","Registrar en conversation_sessions el estado de avance de cada conversación. Dashboard en backoffice con funnel: conversaciones iniciadas → seleccionaron servicio → completaron datos → pagaron seña. Tasa de conversión por etapa y por período.",Medium,"bot,metricas,v1.1",5
Story,,Features Bot Adicionales (V1.1),"Implementar blacklist de clientes (F09)","Campo is_blocked en tabla clients. Admin puede bloquear/desbloquear un número desde el perfil del cliente en backoffice. El webhook del bot verifica este flag antes de procesar cualquier mensaje — si está bloqueado, no responde.",Medium,"bot,blacklist,seguridad,v1.1",3
